2026-08-23 19:27:22.425 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:27:22.514 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:27:22.528 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:27:22.529 | DEBUG    | cli              | elims_instruments.database.crud:fetch:112 - fetch
2026-08-23 19:27:22.535 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:27:22.536 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:27:22.542 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:27:22.556 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_cli_crud_lifecycle0\bench.toml
2026-08-23 19:27:22.557 | DEBUG    | cli              | elims_instruments.database.crud:remove:136 - remove
2026-08-23 19:27:22.631 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml0\bench.toml
2026-08-23 19:27:22.717 | DEBUG    | cli              | elims_instruments.database.crud:add:119 - add
2026-08-23 19:27:22.730 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml0\bench.toml
2026-08-23 19:27:22.731 | DEBUG    | cli              | elims_instruments.database.crud:fetchall:106 - fetchall
2026-08-23 19:27:22.743 | DEBUG    | cli              | elims_instruments.cli.boards:_repository:55 - Opening board repository with C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_export_and_sync_yaml0\bench.toml
2026-08-23 19:27:22.864 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:142 - Loading bench from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:27:22.864 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_configuration:71 - Reading bench configuration from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:27:22.864 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:86 - Validating bench instruments from C:\Users\fabie\Documents\projets\elims-instruments\.pytest-tmp\test_bench_creates_named_drive0\bench.toml
2026-08-23 19:27:22.864 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:116 - Validated bench instruments assignment primary_dmm -> DMM-001
2026-08-23 19:27:22.864 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:116 - Validated bench instruments assignment counter -> CNT-001
2026-08-23 19:27:22.864 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_validate_assignments:122 - Validated 2 bench instruments
